"","Factor_D","mean","sd","n","Tukey"
"1","0.37",82.75,2.06155281280883,4,"a"
"2","0.51",77,2.3094010767585,4,"ab"
"3","0.71",75,1.82574185835055,4,"b"
"4","1.02",71.75,3.30403793359983,4,"b"
"5","1.4",65,3.55902608401044,4,"c"
"6","1.99",62.5,3,4,"c"
